;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;name;age
118;642-32-2990;A;Yangon;Normal;Feminino;Food and beverages;10,96;10;5,48;115,08;2/2/2019;20:48;pix;109,6;4,761,904,762;5,48;6,0;Ana Luiza Freitas;70
119;378-24-2715;B;Mandalay;Normal;Masculino;Casa e estilo de vida;53,44;2;5,344;112,224;1/20/2019;20:38;pix;106,88;4,761,904,762;5,344;4,1;Maria Fernanda Pimenta;46
120;638-60-7125;A;Yangon;Normal;Feminino;Acessórios eletrônicos;99,56;8;39,824;836,304;2/14/2019;17:03;Cartão de Crédito;796,48;4,761,904,762;39,824;5,2;Daniel Vargas;37
121;659-36-1684;C;Naypyitaw;Member;Masculino;Sports and travel;57,12;7;19,992;419,832;1/12/2019;12:02;Cartão de Crédito;399,84;4,761,904,762;19,992;6,5;Sarah Sampaio;41
122;219-22-9386;B;Mandalay;Member;Masculino;Sports and travel;99,96;9;44,982;944,622;3/9/2019;17:26;Cartão de Crédito;899,64;4,761,904,762;44,982;4,2;Maria da Mota;24
123;336-78-2147;C;Naypyitaw;Member;Masculino;Casa e estilo de vida;63,91;8;25,564;536,844;3/13/2019;19:52;Cartão de Crédito;511,28;4,761,904,762;25,564;4,6;Vitor Cavalcanti;65
124;268-27-6179;B;Mandalay;Member;Feminino;Fashion accessories;56,47;8;22,588;474,348;3/9/2019;14:57;pix;451,76;4,761,904,762;22,588;7,3;Pietro da Costa;38
125;668-90-8900;A;Yangon;Normal;Feminino;Casa e estilo de vida;93,69;7;327,915;6,886,215;3/10/2019;18:44;Cartão de Crédito;655,83;4,761,904,762;327,915;4,5;Eloá Porto;29
126;870-54-3162;A;Yangon;Normal;Feminino;Sports and travel;32,25;5;80,625;1,693,125;1/27/2019;13:26;Dinheiro;161,25;4,761,904,762;80,625;9,0;Luana da Mata;41
127;189-08-9157;C;Naypyitaw;Normal;Feminino;Fashion accessories;31,73;9;142,785;2,998,485;1/8/2019;16:17;Cartão de Crédito;285,57;4,761,904,762;142,785;5,9;Eduarda Souza;37
128;663-86-9076;C;Naypyitaw;Member;Feminino;Food and beverages;68,54;8;27,416;575,736;1/8/2019;15:57;pix;548,32;4,761,904,762;27,416;8,5;Ana Luiza Freitas;70
129;549-84-7482;B;Mandalay;Normal;Feminino;Sports and travel;90,28;9;40,626;853,146;2/8/2019;11:15;pix;812,52;4,761,904,762;40,626;7,2;Julia Marques;19
130;191-10-6171;B;Mandalay;Normal;Feminino;Fashion accessories;39,62;7;13,867;291,207;1/25/2019;13:18;Dinheiro;277,34;4,761,904,762;13,867;7,5;Jade Melo;54
131;802-70-5316;A;Yangon;Member;Feminino;Sports and travel;92,13;6;27,639;580,419;3/6/2019;20:34;Dinheiro;552,78;4,761,904,762;27,639;8,3;Thomas Aragão;60
132;695-51-0018;B;Mandalay;Normal;Feminino;Sports and travel;34,84;4;6,968;146,328;2/10/2019;18:36;Dinheiro;139,36;4,761,904,762;6,968;7,4;Pedro da Rocha;24
133;590-83-4591;B;Mandalay;Member;Masculino;Acessórios eletrônicos;87,45;6;26,235;550,935;2/17/2019;14:40;Cartão de Crédito;524,7;4,761,904,762;26,235;8,8;Ayla Peixoto;20
134;483-71-1164;C;Naypyitaw;Normal;Feminino;Saúde e beleza;81,3;6;24,39;512,19;3/8/2019;16:43;pix;487,8;4,761,904,762;24,39;5,3;Lara Souza;61
135;597-78-7908;C;Naypyitaw;Normal;Masculino;Fashion accessories;90,22;3;13,533;284,193;2/18/2019;19:39;Dinheiro;270,66;4,761,904,762;13,533;6,2;Maria da Mota;24
136;700-81-1757;A;Yangon;Normal;Feminino;Acessórios eletrônicos;26,31;5;65,775;1,381,275;1/18/2019;20:59;Cartão de Crédito;131,55;4,761,904,762;65,775;8,8;Rhavi Machado;21
137;354-39-5160;A;Yangon;Member;Feminino;Casa e estilo de vida;34,42;6;10,326;216,846;2/18/2019;15:39;Dinheiro;206,52;4,761,904,762;10,326;9,8;Liz Novais;37
138;241-72-9525;B;Mandalay;Normal;Masculino;Sports and travel;51,91;10;25,955;545,055;2/16/2019;12:21;Dinheiro;519,1;4,761,904,762;25,955;8,2;Maria Eduarda Viana;24
139;575-30-8091;A;Yangon;Normal;Masculino;Sports and travel;72,5;8;29,0;609,0;3/16/2019;19:25;pix;580,0;4,761,904,762;29,0;9,2;Apollo Nascimento;67
